ID,Recognition Number,Organisation Acronym,Organisation Name,Recognition Permission Type,Qualification Type,Level,Sector Subject Area,Apprenticeship Standard Code,Apprenticeship Standard Name,Technical Qualification Subject,Qualification Description,Start Date
12604,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,07.4 Hospitality and catering,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12605,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,"08.1 Sport, leisure and recreation",Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12606,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,08.2 Travel and tourism,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12607,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,09.1 Performing arts,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12608,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,"09.2 Crafts, creative arts and design",Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12609,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,09.3 Media and communication,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12610,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,09.4 Publishing and information services,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12611,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,10.1 History,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12612,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,10.2 Archaeology and archaeological sciences,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12613,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,10.3 Philosophy,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
